model,scenario,variable,unit,region,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
model_a,scenario_a,Emissions|BC,Mt BC/yr,World,19.01125568365128,21.43279828777472,23.20962937820649,21.87128243923566,24.00869677309445,21.71946519602402,23.033341738046417,20.487118514359587,18.47954252764982,19.526553544036116,19.250983424180216,20.98327835477152,19.933529349163866,23.405842116031042,19.433723717371166,22.878514284494926,21.13954872598766,23.41144311296875
model_a,scenario_a,Emissions|BC|AFOLU,Mt BC/yr,World,7.616295865131546,9.823348367075948,9.618524964121715,9.287023808396688,9.510564805920268,9.918602170880135,9.663234325115889,9.321560806957994,8.03431127457667,8.86897358935622,7.074105902753295,8.169088979735047,10.242146463067474,9.551872268403859,8.532126290546888,9.420335371389971,9.734964892462024,9.459990610020217
model_a,scenario_a,Emissions|BC|AFOLU|Agricultural Waste Burning,Mt BC/yr,World,0.44092658167563903,0.9383075958685768,1.162681174765686,0.8592915390344668,1.3255466808600973,0.5676786942432479,1.5969472059825214,1.297408273274202,1.003162521286976,0.7013712319975521,0.6447510528197579,0.2029427017978339,0.8052465834637701,0.7075275234600941,0.8026633875911968,0.8510352764802833,1.1140709671148372,1.4554515477688423
model_a,scenario_a,Emissions|BC|AFOLU|Agriculture,Mt BC/yr,World,1.5283544207013025,0.7500953428327571,0.8546776631438554,0.7527848648794927,0.6473982760601736,0.6797619824829019,1.4048661366365156,1.1152217591227842,0.9673485904660847,1.1493584251237303,0.8034888282854199,1.0416210264223538,0.9256646730887037,1.2472304530267553,0.8522685484254182,0.48540295865271144,1.674017689002024,0.6492254811169749
model_a,scenario_a,Emissions|BC|AFOLU|Land,Mt BC/yr,World,5.647014862754605,8.134945428374612,7.601166126212172,7.674947404482728,7.537619848999997,8.671161494153985,6.6614209824968516,6.908930774561009,6.063800162823609,7.018243932234938,5.625866021648116,6.924525251514861,8.511235206515,7.597114291917009,6.877194354530275,8.083897136256976,6.946876236345164,7.3553135811344
model_a,scenario_a,Emissions|BC|AFOLU|Land|Fires,Mt BC/yr,World,2.843784277096168,3.430748720752385,3.367546844277749,3.4698254442872245,3.134188268006173,3.4996069723645085,2.367866850709436,2.936478884973186,2.8843761123658,3.361646449854369,3.274760878628875,3.571669457486274,3.3857999558695777,3.441051543278739,2.945567673688349,3.9658942275336404,3.1698473991264375,2.885408920458553
model_a,scenario_a,Emissions|BC|AFOLU|Land|Fires|Forest Burning,Mt BC/yr,World,0.9176104016369787,0.9483103249874905,1.0348434087327627,0.9401931253402289,1.5097175831127125,1.357128418654522,1.7532709156143977,1.120558454259867,0.5050543845829744,0.23328604287213883,0.5285454026532229,0.8270877594721356,1.7113951003693333,0.6363925477374742,0.561197250393177,1.0358107092730422,1.5161446614582352,1.0073517775682999
model_a,scenario_a,Emissions|BC|AFOLU|Land|Fires|Grassland Burning,Mt BC/yr,World,1.0601283765570613,1.8754770106026357,1.2391972830679439,1.6777404126227689,0.8436847617250203,1.5011261320918958,0.48738750424435706,0.8965498793780527,1.257414366037887,1.9430569352928742,1.2600823368959162,1.0780696336546929,0.9477805053715879,1.3637178221218353,1.153055220149068,1.2105696064404965,1.1729919213162505,0.5842455965555498
model_a,scenario_a,Emissions|BC|AFOLU|Land|Fires|Peat Burning,Mt BC/yr,World,0.8660454989021279,0.6069613851622588,1.0935061524770422,0.8518919063242266,0.7807859231684399,0.6413524216180906,0.12720843085068123,0.9193705513352666,1.121907361744939,1.1853034716893558,1.4861331390797359,1.666512064359446,0.7266243501286567,1.4409411734194297,1.2313152031461043,1.7195139118201022,0.4807108163519519,1.2938115463347035
model_a,scenario_a,Emissions|BC|AFOLU|Land|Harvested Wood Products,Mt BC/yr,World,0.9295352318231577,1.3581916869432122,0.5693206255840761,1.0757958446751568,0.6948904826083306,1.297568361150407,1.5448095682477008,1.2550964836532885,1.101841822523876,0.6714999685593258,1.3572147914878232,0.9563424943386288,1.311105003019431,0.7060495514732308,0.3307906171246584,1.0172764961807366,0.9041460225813446,0.7080955029875072
